Kurt Allen Nimphius, 13/03/1958, Milwaukee, WI, 00/00/0000
William Michael Curley, 29/05/1972, Boston, MA, 00/00/0000
John P. McCullough, 05/10/1956, Lima, OH, 00/00/0000
Kevin Lee Pritchard, 17/07/1967, Bloomington, IN, 00/00/0000
Maurice H. Ellis, 08/08/1954, Chicago, IL, 00/00/0000
Milton S. Palacio, 07/02/1978, Los Angeles, CA, 00/00/0000
Matthew William Wenstrom, 04/11/1970, Minneapolis, MN, 00/00/0000
Maurice Darnell Ager, 09/02/1984, Detroit, MI, 00/00/0000
Jack Kevin Haley, 27/01/1964, Long Beach, CA, 00/00/0000
Roy McPipe, 05/05/1950, Hammond, IN, 00/00/0000
Walter F. Dukes, 23/06/1930, Youngstown, OH, 14/03/2001
Paul Matthew Pressey, 24/12/1958, Richmond, VA, 00/00/0000
Earl Antoine Boykins, 02/06/1976, Cleveland, OH, 00/00/0000
Jeffery Allen Martin, 14/01/1967, Cherry Valley, AR, 00/00/0000
John Michael Beasley, 05/02/1944, Texarkana, TX, 00/00/0000
Antonio Lee Davis, 31/10/1968, Oakland, CA, 00/00/0000
Henry Lee Whitney, 28/04/1939, Brooklyn, NY, 00/00/0000
Charles Vincent Whitney, 22/06/1957, Washington, DC, 00/00/0000
Cleveland Buckner, 17/08/1938, Yazoo City, MS, 05/10/2006
Sedale Eugene Threatt, 10/09/1961, Atlanta, GA, 00/00/0000
Nathaniel Archibald, 02/09/1948, New York, NY, 00/00/0000
Gary Dajaun Trent, 22/09/1974, Columbus, OH, 00/00/0000
Harry J. Boykoff, 24/07/1922, Brooklyn, NY, 20/02/2001
Marcus Deshon Haislip, 22/12/1980, Lewisburg, TN, 00/00/0000
Hollis Alphonso Copeland, 20/12/1955, Trenton, NJ, 00/00/0000
Lamar Anthony Green, 22/03/1947, Birmingham, AL, 00/00/0000
Rex Morgan, 27/10/1948, Charleston, IL, 00/00/0000
Lenard Benoit Benjamin, 22/11/1964, Monroe, LA, 00/00/0000
Elmer James Bennett, 13/02/1970, Evanston, IL, 00/00/0000
Samuel Lee Worthen, 17/01/1958, Brooklyn, NY, 00/00/0000
Garland Lee O'Shields, 23/05/1921, Spartanburg County, SC, 17/01/2001
Walker D. Russell, 26/10/1960, Pontiac, MI, 00/00/0000
Nathan J. DeLong, 05/01/1926, (ht) Chippewa Falls, WI, 05/05/2010
Walker Russell, 06/10/1982, Pontiac, MI, 00/00/0000
Austin Nathan Croshere, 01/05/1975, Los Angeles, CA, 00/00/0000
Donald E. Freeman, 18/07/1944, Madison, IL, 00/00/0000
Leonard Randolph Wilkens, 28/10/1937, Brooklyn, NY, 00/00/0000
Richard Morton, 02/02/1966, San Francisco, CA, 00/00/0000
Litterial Green, 07/03/1970, Pascagoula, MS, 00/00/0000
Norris Cole, 13/10/1988, Dayton, OH, 00/00/0000
Alfred Nicholas Cervi, 12/02/1917, Buffalo, NY, 09/11/2009
Gerald Arthur Paulson, 21/07/1935, New York, NY, 06/03/1986
Kennedy McIntosh, 21/01/1949, Detroit, MI, 06/03/2009
Jerry G. Rook, 27/10/1943, Jonesboro, AR, 00/00/0000
Isaiah Rider, 12/03/1971, Oakland, CA, 00/00/0000
Edward R. Manning, 02/01/1943, Summit, MS, 04/03/2011
Robert Marion Cluggish, 18/09/1917, Marion, KY, 05/09/2008
Kenneth Wilburn, 08/06/1944, River Rouge, MI, 00/00/0000
James W. Caldwell, 28/01/1943, Durham, NC, 00/00/0000
